DerbyFlag,HomeTeam,AwayTeam,Result,Date,Scoreline,Outcome
0,Chelsea,Newcastle,won,12/01/2019,2-1,1
0,Crystal Palace,Watford,lost,12/01/2019,1-2,-1
0,Leicester,Southampton,lost,12/01/2019,1-2,-1
0,West Ham,Arsenal,won,12/01/2019,1-0,1
0,Everton,Bournemouth,won,13/01/2019,2-0,1
0,Tottenham,Man United,lost,13/01/2019,0-1,-1
0,Man City,Wolves,won,14/01/2019,3-0,1
2,Arsenal,Chelsea,won,19/01/2019,2-0,1
0,Bournemouth,West Ham,won,19/01/2019,2-0,1
0,Liverpool,Crystal Palace,won,19/01/2019,4-3,1
0,Man United,Brighton,won,19/01/2019,2-1,1
0,Newcastle,Cardiff,won,19/01/2019,3-0,1
0,Southampton,Everton,won,19/01/2019,2-1,1
0,Watford,Burnley,drew,19/01/2019,0-0,0
0,Wolves,Leicester,won,19/01/2019,4-3,1
0,Fulham,Tottenham,lost,20/01/2019,1-2,-1
0,Huddersfield,Man City,lost,20/01/2019,0-3,-1
0,Arsenal,Cardiff,won,29/01/2019,2-1,1
0,Fulham,Brighton,won,29/01/2019,4-2,1
0,Huddersfield,Everton,lost,29/01/2019,0-1,-1
0,Man United,Burnley,drew,29/01/2019,2-2,0
0,Newcastle,Man City,won,29/01/2019,2-1,1
0,Wolves,West Ham,won,29/01/2019,3-0,1
0,Bournemouth,Chelsea,won,30/01/2019,4-0,1
0,Liverpool,Leicester,drew,30/01/2019,1-1,0
0,Southampton,Crystal Palace,drew,30/01/2019,1-1,0
0,Tottenham,Watford,won,30/01/2019,2-1,1
0,Brighton,Watford,drew,02/02/2019,0-0,0
0,Burnley,Southampton,drew,02/02/2019,1-1,0
0,Cardiff,Bournemouth,won,02/02/2019,2-0,1
0,Chelsea,Huddersfield,won,02/02/2019,5-0,1
0,Crystal Palace,Fulham,won,02/02/2019,2-0,1
0,Everton,Wolves,lost,02/02/2019,1-3,-1
0,Tottenham,Newcastle,won,02/02/2019,1-0,1
0,Leicester,Man United,lost,03/02/2019,0-1,-1
0,Man City,Arsenal,won,03/02/2019,3-1,1
0,West Ham,Liverpool,drew,04/02/2019,1-1,0
0,Everton,Man City,lost,06/02/2019,0-2,-1
0,Brighton,Burnley,lost,09/02/2019,1-3,-1
0,Crystal Palace,West Ham,drew,09/02/2019,1-1,0
0,Fulham,Man United,lost,09/02/2019,0-3,-1
0,Huddersfield,Arsenal,lost,09/02/2019,1-2,-1
0,Liverpool,Bournemouth,won,09/02/2019,3-0,1
0,Southampton,Cardiff,lost,09/02/2019,1-2,-1
0,Watford,Everton,won,09/02/2019,1-0,1
0,Man City,Chelsea,won,10/02/2019,6-0,1
0,Tottenham,Leicester,won,10/02/2019,3-1,1
0,Wolves,Newcastle,drew,11/02/2019,1-1,0
0,Cardiff,Watford,lost,22/02/2019,1-5,-1
0,West Ham,Fulham,won,22/02/2019,3-1,1
0,Bournemouth,Wolves,drew,23/02/2019,1-1,0
0,Burnley,Tottenham,won,23/02/2019,2-1,1
0,Leicester,Crystal Palace,lost,23/02/2019,1-4,-1
0,Newcastle,Huddersfield,won,23/02/2019,2-0,1
0,Arsenal,Southampton,won,24/02/2019,2-0,1
3,Man United,Liverpool,drew,24/02/2019,0-0,0
0,Cardiff,Everton,lost,26/02/2019,0-3,-1
0,Huddersfield,Wolves,won,26/02/2019,1-0,1
0,Leicester,Brighton,won,26/02/2019,2-1,1
0,Newcastle,Burnley,won,26/02/2019,2-0,1
0,Arsenal,Bournemouth,won,27/02/2019,5-1,1
3,Chelsea,Tottenham,won,27/02/2019,2-0,1
0,Crystal Palace,Man United,lost,27/02/2019,1-3,-1
0,Liverpool,Watford,won,27/02/2019,5-0,1
0,Man City,West Ham,won,27/02/2019,1-0,1
0,Southampton,Fulham,won,27/02/2019,2-0,1
0,Bournemouth,Man City,lost,02/03/2019,0-1,-1
0,Brighton,Huddersfield,won,02/03/2019,1-0,1
0,Burnley,Crystal Palace,lost,02/03/2019,1-3,-1
0,Man United,Southampton,won,02/03/2019,3-2,1
3,Tottenham,Arsenal,drew,02/03/2019,1-1,0
0,West Ham,Newcastle,won,02/03/2019,2-0,1
0,Wolves,Cardiff,won,02/03/2019,2-0,1
2,Everton,Liverpool,drew,03/03/2019,0-0,0
1,Fulham,Chelsea,lost,03/03/2019,1-2,-1
0,Watford,Leicester,won,03/03/2019,2-1,1
0,Cardiff,West Ham,won,09/03/2019,2-0,1
2,Crystal Palace,Brighton,lost,09/03/2019,1-2,-1
0,Huddersfield,Bournemouth,lost,09/03/2019,0-2,-1
0,Leicester,Fulham,won,09/03/2019,3-1,1
0,Man City,Watford,won,09/03/2019,3-1,1
0,Newcastle,Everton,won,09/03/2019,3-2,1
0,Southampton,Tottenham,won,09/03/2019,2-1,1
0,Arsenal,Man United,won,10/03/2019,2-0,1
0,Chelsea,Wolves,drew,10/03/2019,1-1,0
0,Liverpool,Burnley,won,10/03/2019,4-2,1
0,Bournemouth,Newcastle,drew,16/03/2019,2-2,0
0,Burnley,Leicester,lost,16/03/2019,1-2,-1
0,West Ham,Huddersfield,won,16/03/2019,4-3,1
0,Everton,Chelsea,won,17/03/2019,2-0,1
0,Fulham,Liverpool,lost,17/03/2019,1-2,-1
0,Brighton,Southampton,lost,30/03/2019,0-1,-1
0,Burnley,Wolves,won,30/03/2019,2-0,1
0,Crystal Palace,Huddersfield,won,30/03/2019,2-0,1
0,Fulham,Man City,lost,30/03/2019,0-2,-1
0,Leicester,Bournemouth,won,30/03/2019,2-0,1
0,Man United,Watford,won,30/03/2019,2-1,1
0,West Ham,Everton,lost,30/03/2019,0-2,-1
0,Cardiff,Chelsea,lost,31/03/2019,1-2,-1
0,Liverpool,Tottenham,won,31/03/2019,2-1,1
0,Arsenal,Newcastle,won,01/04/2019,2-0,1
0,Watford,Fulham,won,02/04/2019,4-1,1
0,Wolves,Man United,won,02/04/2019,2-1,1
0,Chelsea,Brighton,won,03/04/2019,3-0,1
0,Man City,Cardiff,won,03/04/2019,2-0,1
0,Tottenham,Crystal Palace,won,03/04/2019,2-0,1
0,Southampton,Liverpool,lost,05/04/2019,1-3,-1
0,Bournemouth,Burnley,lost,06/04/2019,1-3,-1
0,Huddersfield,Leicester,lost,06/04/2019,1-4,-1
0,Newcastle,Crystal Palace,lost,06/04/2019,0-1,-1
0,Everton,Arsenal,won,07/04/2019,1-0,1
1,Chelsea,West Ham,won,08/04/2019,2-0,1
0,Leicester,Newcastle,lost,12/04/2019,0-1,-1
0,Brighton,Bournemouth,lost,13/04/2019,0-5,-1
0,Burnley,Cardiff,won,13/04/2019,2-0,1
0,Fulham,Everton,won,13/04/2019,2-0,1
0,Man United,West Ham,won,13/04/2019,2-1,1
0,Southampton,Wolves,won,13/04/2019,3-1,1
0,Tottenham,Huddersfield,won,13/04/2019,4-0,1
0,Crystal Palace,Man City,lost,14/04/2019,1-3,-1
0,Liverpool,Chelsea,won,14/04/2019,2-0,1
0,Watford,Arsenal,lost,15/04/2019,0-1,-1
0,Brighton,Cardiff,lost,16/04/2019,0-2,-1
0,Bournemouth,Fulham,lost,20/04/2019,0-1,-1
0,Huddersfield,Watford,lost,20/04/2019,1-2,-1
0,Man City,Tottenham,won,20/04/2019,1-0,1
0,Newcastle,Southampton,won,20/04/2019,3-1,1
0,West Ham,Leicester,drew,20/04/2019,2-2,0
0,Wolves,Brighton,drew,20/04/2019,0-0,0
0,Arsenal,Crystal Palace,lost,21/04/2019,2-3,-1
0,Cardiff,Liverpool,lost,21/04/2019,0-2,-1
0,Everton,Man United,won,21/04/2019,4-0,1
0,Chelsea,Burnley,drew,22/04/2019,2-2,0
0,Tottenham,Brighton,won,23/04/2019,1-0,1
0,Watford,Southampton,drew,23/04/2019,1-1,0
2,Man United,Man City,lost,24/04/2019,0-2,-1
0,Wolves,Arsenal,won,24/04/2019,3-1,1
0,Liverpool,Huddersfield,won,26/04/2019,5-0,1
0,Brighton,Newcastle,drew,27/04/2019,1-1,0
0,Crystal Palace,Everton,drew,27/04/2019,0-0,0
0,Fulham,Cardiff,won,27/04/2019,1-0,1
2,Southampton,Bournemouth,drew,27/04/2019,3-3,0
2,Tottenham,West Ham,lost,27/04/2019,0-1,-1
0,Watford,Wolves,lost,27/04/2019,1-2,-1
0,Burnley,Man City,lost,28/04/2019,0-1,-1
0,Leicester,Arsenal,won,28/04/2019,3-0,1
0,Man United,Chelsea,drew,28/04/2019,1-1,0
0,Everton,Burnley,won,03/05/2019,2-0,1
0,Bournemouth,Tottenham,won,04/05/2019,1-0,1
0,Cardiff,Crystal Palace,lost,04/05/2019,2-3,-1
0,Newcastle,Liverpool,lost,04/05/2019,2-3,-1
0,West Ham,Southampton,won,04/05/2019,3-0,1
0,Wolves,Fulham,won,04/05/2019,1-0,1
0,Arsenal,Brighton,drew,05/05/2019,1-1,0
0,Chelsea,Watford,won,05/05/2019,3-0,1
0,Huddersfield,Man United,drew,05/05/2019,1-1,0
0,Man City,Leicester,won,06/05/2019,1-0,1
0,Brighton,Man City,lost,12/05/2019,1-4,-1
0,Burnley,Arsenal,lost,12/05/2019,1-3,-1
0,Crystal Palace,Bournemouth,won,12/05/2019,5-3,1
0,Fulham,Newcastle,lost,12/05/2019,0-4,-1
0,Leicester,Chelsea,drew,12/05/2019,0-0,0
0,Liverpool,Wolves,won,12/05/2019,2-0,1
0,Man United,Cardiff,lost,12/05/2019,0-2,-1
0,Southampton,Huddersfield,drew,12/05/2019,1-1,0
0,Tottenham,Everton,drew,12/05/2019,2-2,0
0,Watford,West Ham,lost,12/05/2019,1-4,-1
